LastUploadDate	UploadDescription	RowsProcessed	SuccessFlag	ActualUploadedCount	BrandName	BrandListId	BrandRowsProcessed
2025-03-22 10:28:46.830	Initial Google Ads Upload Setup	0	1	NULL	NULL	NULL	NULL
2025-04-21 12:11:54.220	Daily Google Ads Customer Upload	79152	1	NULL	NULL	NULL	NULL
2025-04-21 12:12:46.840	Daily Google Ads Customer Upload	79140	1	NULL	NULL	NULL	NULL
2025-04-21 12:14:42.047	Daily Google Ads Customer Upload	79140	1	NULL	NULL	NULL	NULL
2025-04-21 12:16:26.197	Daily Google Ads Customer Upload	79140	1	NULL	NULL	NULL	NULL
2025-04-21 12:23:09.577	Initial Full Customer Upload	2293692	1	NULL	NULL	NULL	NULL
2025-04-21 12:31:00.067	Daily Google Ads Customer Upload	79140	1	NULL	NULL	NULL	NULL
2025-04-21 12:34:13.027	Daily Google Ads Customer Upload	0	1	NULL	NULL	NULL	NULL
2025-04-21 12:36:15.667	Daily Google Ads Customer Upload	79140	1	NULL	NULL	NULL	NULL
2025-04-21 12:41:32.990	Daily Google Ads Customer Upload	79141	1	NULL	NULL	NULL	NULL
2025-04-22 08:18:22.183	Daily Google Ads Customer Upload	79140	0	NULL	NULL	NULL	NULL
2025-04-22 08:26:50.373	Daily Google Ads Customer Upload	79140	1	NULL	NULL	NULL	NULL
2025-04-22 08:30:53.670	Daily Google Ads Customer Upload	79140	1	NULL	NULL	NULL	NULL
2025-04-22 08:38:54.367	Daily Google Ads Customer Upload	79140	1	NULL	NULL	NULL	NULL
2025-04-22 08:44:18.220	Daily Google Ads Customer Upload	79141	0	NULL	NULL	NULL	NULL
2025-04-22 08:49:17.463	Daily Google Ads Customer Upload	79141	1	NULL	NULL	NULL	NULL
2025-04-22 08:59:25.127	Daily Google Ads Customer Upload	79141	1	NULL	NULL	NULL	NULL
2025-04-22 09:05:48.163	Daily Google Ads Customer Upload	79140	1	NULL	NULL	NULL	NULL
2025-04-22 09:27:00.247	Daily Google Ads Customer Upload	79140	1	NULL	NULL	NULL	NULL
2025-04-22 09:38:05.267	Daily Google Ads Customer Upload	79140	1	NULL	NULL	NULL	NULL
2025-04-22 09:41:19.087	Daily Google Ads Customer Upload	79140	1	NULL	NULL	NULL	NULL
2025-04-22 10:06:20.180	Daily Google Ads Customer Upload	79140	1	NULL	NULL	NULL	NULL
2025-04-22 10:15:01.720	Daily Google Ads Customer Upload	79140	1	NULL	NULL	NULL	NULL
2025-04-22 10:23:14.243	Daily Google Ads Customer Upload	79140	1	NULL	NULL	NULL	NULL
2025-04-22 10:57:39.110	Daily Google Ads Customer Upload	79140	1	NULL	NULL	NULL	NULL
2025-04-22 11:13:08.117	Daily Google Ads Customer Upload	79140	1	NULL	NULL	NULL	NULL
2025-04-22 11:41:22.997	Daily Google Ads Customer Upload	79140	1	NULL	NULL	NULL	NULL
2025-04-22 11:49:46.617	Daily Google Ads Customer Upload	79140	1	NULL	NULL	NULL	NULL
2025-04-22 11:49:48.313	Daily Google Ads Customer Upload	78927	1	NULL	NULL	NULL	NULL
2025-04-22 12:05:30.353	Daily Google Ads Customer Upload	79140	1	NULL	NULL	NULL	NULL
2025-04-22 12:05:33.397	Daily Google Ads Customer Upload	78927	1	NULL	NULL	NULL	NULL
2025-04-22 12:16:32.880	Daily Google Ads Customer Upload	79140	1	NULL	NULL	NULL	NULL
2025-04-22 12:16:34.360	Daily Google Ads Customer Upload	78927	1	NULL	NULL	NULL	NULL
2025-04-23 08:19:40.610	Daily Google Ads Customer Upload	79140	1	NULL	NULL	NULL	NULL
2025-04-23 08:19:41.787	Daily Google Ads Customer Upload	78927	1	NULL	NULL	NULL	NULL
2025-04-23 09:59:51.270	Daily Google Ads Customer Upload	79140	1	NULL	NULL	NULL	NULL
2025-04-23 09:59:53.127	Daily Google Ads Customer Upload	78927	1	78927	NULL	NULL	NULL
2025-04-23 10:02:36.710	Daily Google Ads Customer Upload	79140	1	NULL	NULL	NULL	NULL
2025-04-23 10:02:38.447	Daily Google Ads Customer Upload	78927	1	78927	NULL	NULL	NULL
2025-04-23 10:11:27.207	Daily Google Ads Customer Upload	79140	1	NULL	NULL	NULL	NULL
2025-04-23 10:11:28.947	Daily Google Ads Customer Upload	78927	1	78927	NULL	NULL	NULL
2025-04-23 10:18:31.717	Daily Google Ads Customer Upload	79140	1	NULL	NULL	NULL	NULL
2025-04-23 10:18:33.677	Daily Google Ads Customer Upload	79140	1	78927	NULL	NULL	NULL
2025-04-23 10:25:09.900	Daily Google Ads Customer Upload	79140	1	NULL	NULL	NULL	NULL
2025-04-23 10:26:32.000	Daily Google Ads Customer Upload	79140	1	78927	NULL	NULL	NULL
2025-04-23 10:30:01.247	Daily Google Ads Customer Upload	79140	1	NULL	NULL	NULL	NULL
2025-04-23 10:31:22.587	Daily Google Ads Customer Upload	79140	1	78927	NULL	NULL	NULL
2025-04-23 14:39:32.913	Daily Google Ads Customer Upload	79140	1	78927	NULL	NULL	NULL
2025-04-23 14:43:18.047	Daily Google Ads Customer Upload	79140	1	NULL	NULL	NULL	NULL
2025-04-23 14:44:09.083	Daily Google Ads Customer Upload	79140	1	NULL	NULL	NULL	NULL
2025-04-23 14:56:47.697	Daily Google Ads Customer Upload	79140	1	NULL	NULL	NULL	NULL
2025-04-23 15:06:34.257	Daily Google Ads Customer Upload	79140	1	78927	NULL	NULL	NULL
2025-04-23 15:09:35.760	Daily Google Ads Customer Upload	79140	1	78927	NULL	NULL	NULL
2025-04-23 15:35:11.567	Daily Google Ads Customer Upload	79140	1	78927	NULL	NULL	NULL
2025-04-23 16:38:54.003	Daily Google Ads Customer Upload	79140	1	78927	NULL	NULL	NULL
2025-04-24 09:19:46.910	Daily Google Ads Customer Upload	79140	1	78927	NULL	NULL	NULL
